,title,year,vote_count,vote_average,popularity,genres,Science Fiction,Action,War,Adventure,Horror,Thriller,History,Documentary,Romance,Music,Drama,Animation,Mystery,Western,TV Movie,Fantasy,Comedy,Crime,Family
0,Toy Story,1995,5415,7,21.946943,"['Animation', 'Comedy', 'Family']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
1,Jumanji,1995,2413,6,17.015539,"['Adventure', 'Fantasy', 'Family']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
5,Heat,1995,1886,7,17.924927,"['Action', 'Crime', 'Drama', 'Thriller']",0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
9,GoldenEye,1995,1194,6,14.686036,"['Adventure', 'Action', 'Thriller']",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Casino,1995,1343,7,10.137389,"['Drama', 'Crime']",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
17,Four Rooms,1995,539,6,9.026586,"['Crime', 'Comedy']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
18,Ace Ventura: When Nature Calls,1995,1128,6,8.205448,"['Crime', 'Comedy', 'Adventure']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
31,Twelve Monkeys,1995,2470,7,12.297305,"['Science Fiction', 'Thriller', 'Mystery']",1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
33,Babe,1995,756,6,14.404764,"['Fantasy', 'Drama', 'Comedy', 'Family']",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1
38,Clueless,1995,828,6,9.882383,"['Comedy', 'Drama', 'Romance']",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
43,Mortal Kombat,1995,452,5,10.870138,"['Action', 'Fantasy']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
46,Se7en,1995,5915,8,18.45743,"['Crime', 'Mystery', 'Thriller']",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
47,Pocahontas,1995,1509,6,13.280069,"['Adventure', 'Animation', 'Drama', 'Family']",0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
49,The Usual Suspects,1995,3334,8,16.302466,"['Drama', 'Crime', 'Thriller']",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
68,Friday,1995,513,7,14.56965,['Comedy'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
69,From Dusk Till Dawn,1996,1644,6,15.339153,"['Horror', 'Action', 'Thriller', 'Crime']",0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
93,Broken Arrow,1996,459,5,14.957626,"['Action', 'Adventure', 'Drama', 'Thriller']",0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
95,La Haine,1995,695,7,12.108196,['Drama'],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
102,Happy Gilmore,1996,767,6,9.592265,['Comedy'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
108,Braveheart,1995,3404,7,20.755149,"['Action', 'Drama', 'History', 'War']",0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
109,Taxi Driver,1976,2632,8,14.092713,"['Crime', 'Drama']",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
142,Bad Boys,1995,1729,6,9.262184,"['Action', 'Comedy', 'Crime', 'Thriller']",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
144,The Basketball Diaries,1995,472,7,7.415144,"['Drama', 'Crime']",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
147,Apollo 13,1995,1637,7,18.761467,['Drama'],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
150,Batman Forever,1995,1529,5,13.321354,"['Action', 'Crime', 'Fantasy']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
155,Casper,1995,1045,6,12.812539,"['Fantasy', 'Comedy', 'Family']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
158,Crimson Tide,1995,508,7,8.657365,"['Action', 'Thriller', 'Drama']",0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
160,Desperado,1995,898,6,6.950458,"['Thriller', 'Action', 'Crime']",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
162,Die Hard: With a Vengeance,1995,2094,6,15.138855,"['Action', 'Thriller']",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
170,Judge Dredd,1995,643,5,8.184815,['Science Fiction'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,Species,1995,457,5,13.492845,"['Science Fiction', 'Horror', 'Action']",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,Waterworld,1995,1017,5,16.885184,"['Adventure', 'Action']",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,Before Sunrise,1995,984,7,11.304979,"['Drama', 'Romance']",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
213,Billy Madison,1995,464,6,6.638116,['Comedy'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
219,Clerks,1994,769,7,10.513367,['Comedy'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
227,Dumb and Dumber,1994,1894,6,9.844558,['Comedy'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
231,Ed Wood,1994,639,7,11.720358,"['Comedy', 'Drama', 'History']",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
249,Interview with the Vampire,1994,1558,7,11.970205,"['Horror', 'Romance']",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
256,Star Wars,1977,6778,8,42.149697,"['Adventure', 'Action', 'Science Fiction']",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262,Legends of the Fall,1994,636,7,12.199047,"['Adventure', 'Drama', 'Romance', 'War']",0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
284,Natural Born Killers,1994,927,6,11.226856,"['Crime', 'Thriller', 'Drama']",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
288,Outbreak,1995,522,6,13.676444,"['Action', 'Drama', 'Science Fiction', 'Thriller']",1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
289,Leon: The Professional,1994,4293,8,20.477329,"['Thriller', 'Crime', 'Drama']",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
292,Pulp Fiction,1994,8670,8,140.950236,"['Thriller', 'Crime']",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
312,Stargate,1994,942,6,13.328924,"['Action', 'Adventure', 'Science Fiction']",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
313,The Santa Clause,1994,501,6,9.665424,"['Fantasy', 'Drama', 'Comedy', 'Family']",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1
314,The Shawshank Redemption,1994,8358,8,51.645403,"['Drama', 'Crime']",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
324,Star Trek: Generations,1994,461,6,8.105708,"['Science Fiction', 'Action', 'Adventure', 'Thriller']",1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
332,What's Eating Gilbert Grape,1993,943,7,10.3919,"['Romance', 'Drama']",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
339,Ace Ventura: Pet Detective,1994,1684,6,11.247957,"['Comedy', 'Mystery']",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
348,The Crow,1994,980,7,15.799336,"['Fantasy', 'Action', 'Thriller']",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
350,The Flintstones,1994,559,5,15.019586,"['Fantasy', 'Comedy', 'Family']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
351,Forrest Gump,1994,8147,8,48.307194,"['Comedy', 'Drama', 'Romance']",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
352,Four Weddings and a Funeral,1994,654,6,8.990345,"['Comedy', 'Drama', 'Romance']",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
359,The Lion King,1994,5520,8,21.605761,"['Family', 'Animation', 'Drama']",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
